time;cpi
1977-11-01;27.62115795
1977-12-01;27.69426848
1978-01-01;27.82586743
1978-02-01;28.03057691
1978-03-01;28.27915271
1978-04-01;28.58621694
1978-05-01;28.86403695
1978-06-01;29.08336853
1978-07-01;29.43429908
1978-08-01;29.60976435
1978-09-01;29.79985172
1978-10-01;30.07767173
1978-11-01;30.2385149
1978-12-01;30.38473596
1979-01-01;30.66255597
1979-02-01;30.86726545
1979-03-01;31.14508546
1979-04-01;31.45214968
1979-05-01;31.78845812
1979-06-01;32.05165602
1979-07-01;32.47569709
1979-08-01;32.81200553
1979-09-01;33.08982554
1979-10-01;33.4846224
1979-11-01;33.70395398
1979-12-01;33.96715189
1980-01-01;34.62514665
1980-02-01;34.99271721
1980-03-01;35.39704483
1980-04-01;35.8381295
1980-05-01;36.13218594
1980-06-01;36.38948533
1980-07-01;36.90408412
1980-08-01;37.27165468
1980-09-01;37.60246818
1980-10-01;38.00679579
1980-11-01;38.26409519
1980-12-01;38.63166574
1981-01-01;39.07275042
1981-02-01;39.44032097
1981-03-01;39.80789153
1981-04-01;40.35924737
1981-05-01;40.72681793
1981-06-01;41.13114555
1981-07-01;41.82952961
1981-08-01;42.34412839
1981-09-01;42.82197012
1981-10-01;43.37332595
1981-11-01;43.74089651
1981-12-01;43.9981959
1982-01-01;44.47603763
1982-02-01;44.9171223
1982-03-01;45.46847814
1982-04-01;45.98307692
1982-05-01;46.35064748
1982-06-01;46.68146099
1982-07-01;46.82848921
1982-08-01;46.97551743
1982-09-01;47.15930271
1982-10-01;47.4166021
1982-11-01;47.85768677
1982-12-01;48.26201439
1983-01-01;48.73985612
1983-02-01;49.07066962
1983-03-01;49.54851134
1983-04-01;50.17338129
1983-05-01;50.5041948
1983-06-01;50.79825125
1983-07-01;51.23933592
1983-08-01;51.53339236
1983-09-01;51.93771998
1983-10-01;52.34204759
1983-11-01;52.56258993
1983-12-01;52.74637521
1984-01-01;53.11394577
1984-02-01;53.44475927
1984-03-01;53.81232983
1984-04-01;54.14314333
1984-05-01;54.43719978
1984-06-01;54.69449917
1984-07-01;55.06206973
1984-08-01;55.35612618
1984-09-01;55.61342557
1984-10-01;55.98099613
1984-11-01;56.16478141
1984-12-01;56.27505257
1985-01-01;56.56910902
1985-02-01;56.86316547
1985-03-01;57.26749308
1985-04-01;57.6718207
1985-05-01;57.96587714
1985-06-01;58.18641948
1985-07-01;58.40696182
1985-08-01;58.48047593
1985-09-01;58.55399004
1985-10-01;58.73777532
1985-11-01;58.84804649
1985-12-01;58.9215606
1986-01-01;58.95831765
1986-02-01;58.81128943
1986-03-01;58.95831765
1986-04-01;59.17885999
1986-05-01;59.32588821
1986-06-01;59.50967349
1986-07-01;59.5831876
1986-08-01;59.65670172
1986-09-01;59.87724405
1986-10-01;60.02427227
1986-11-01;60.09778639
1986-12-01;60.1713005
1987-01-01;60.72265634
1987-02-01;60.8329275
1987-03-01;60.90644162
1987-04-01;61.23725512
1987-05-01;61.34752629
1987-06-01;61.45779745
1987-07-01;61.60482568
1987-08-01;61.7518539
1987-09-01;61.78861096
1987-10-01;61.93563918
1987-11-01;62.00915329
1987-12-01;62.04591035
1988-01-01;62.15618152
1988-02-01;62.26645268
1988-03-01;62.45023796
1988-04-01;62.74429441
1988-05-01;62.89132263
1988-06-01;63.07510791
1988-07-01;63.29565025
1988-08-01;63.47943553
1988-09-01;63.62646375
1988-10-01;63.77349198
1988-11-01;63.84700609
1988-12-01;63.95727726
1989-01-01;64.21457665
1989-02-01;64.39836193
1989-03-01;64.58214721
1989-04-01;64.98647482
1989-05-01;65.24377421
1989-06-01;65.31728832
1989-07-01;65.5010736
1989-08-01;65.61134477
1989-09-01;65.75837299
1989-10-01;66.05242944
1989-11-01;66.16270061
1989-12-01;66.23621472
1990-01-01;66.42
1990-02-01;66.56
1990-03-01;66.72
1990-04-01;67.09
1990-05-01;67.19
1990-06-01;67.18
1990-07-01;67.2
1990-08-01;67.64
1990-09-01;68.12
1990-10-01;68.42
1990-11-01;68.31
1990-12-01;68.26
1991-01-01;68.64
1991-02-01;68.82
1991-03-01;68.95
1991-04-01;69.16
1991-05-01;69.38
1991-06-01;69.55
1991-07-01;69.73
1991-08-01;69.81
1991-09-01;69.92
1991-10-01;70.28
1991-11-01;70.55
1991-12-01;70.32
1992-01-01;70.44
1992-02-01;70.74
1992-03-01;70.97
1992-04-01;71.12
1992-05-01;71.35
1992-06-01;71.31
1992-07-01;71.27
1992-08-01;71.23
1992-09-01;71.43
1992-10-01;71.63
1992-11-01;71.7
1992-12-01;71.66
1993-01-01;71.94
1993-02-01;72.19
1993-03-01;72.56
1993-04-01;72.65
1993-05-01;72.75
1993-06-01;72.71
1993-07-01;72.77
1993-08-01;72.77
1993-09-01;73
1993-10-01;73.13
1993-11-01;73.2
1993-12-01;73.17
1994-01-01;73.26
1994-02-01;73.47
1994-03-01;73.64
1994-04-01;73.84
1994-05-01;74
1994-06-01;73.97
1994-07-01;73.96
1994-08-01;73.95
1994-09-01;74.18
1994-10-01;74.34
1994-11-01;74.35
1994-12-01;74.33
1995-01-01;74.52
1995-02-01;74.75
1995-03-01;74.98
1995-04-01;75.07
1995-05-01;75.18
1995-06-01;75.18
1995-07-01;75.04
1995-08-01;75.4
1995-09-01;75.67
1995-10-01;75.75
1995-11-01;75.81
1995-12-01;75.88
1996-01-01;75.97
1996-02-01;76.26
1996-03-01;76.75
1996-04-01;76.84
1996-05-01;77
1996-06-01;76.91
1996-07-01;76.77
1996-08-01;76.62
1996-09-01;76.85
1996-10-01;77.05
1996-11-01;76.98
1996-12-01;77.14
1997-01-01;77.31
1997-02-01;77.47
1997-03-01;77.53
1997-04-01;77.56
1997-05-01;77.67
1997-06-01;77.65
1997-07-01;77.55
1997-08-01;77.75
1997-09-01;77.89
1997-10-01;77.85
1997-11-01;77.98
1997-12-01;78.02
1998-01-01;77.78
1998-02-01;78.07
1998-03-01;78.2
1998-04-01;78.36
1998-05-01;78.38
1998-06-01;78.44
1998-07-01;78.18
1998-08-01;78.23
1998-09-01;78.2
1998-10-01;78.16
1998-11-01;78.11
1998-12-01;78.19
1999-01-01;77.97
1999-02-01;78.21
1999-03-01;78.47
1999-04-01;78.69
1999-05-01;78.7
1999-06-01;78.69
1999-07-01;78.48
1999-08-01;78.61
1999-09-01;78.74
1999-10-01;78.79
1999-11-01;78.82
1999-12-01;79.17
2000-01-01;79.17
2000-02-01;79.27
2000-03-01;79.64
2000-04-01;79.64
2000-05-01;79.8
2000-06-01;80
2000-07-01;79.87
2000-08-01;80.02
2000-09-01;80.43
2000-10-01;80.33
2000-11-01;80.51
2000-12-01;80.47
2001-01-01;80.13
2001-02-01;80.35
2001-03-01;80.71
2001-04-01;81.1
2001-05-01;81.6
2001-06-01;81.65
2001-07-01;81.48
2001-08-01;81.48
2001-09-01;81.63
2001-10-01;81.68
2001-11-01;81.46
2001-12-01;81.56
2002-01-01;81.94
2002-02-01;82.04
2002-03-01;82.4
2002-04-01;82.71
2002-05-01;82.81
2002-06-01;82.8
2002-07-01;82.8
2002-08-01;82.99
2002-09-01;83.14
2002-10-01;83.27
2002-11-01;83.27
2002-12-01;83.41
2003-01-01;83.57
2003-02-01;84.15
2003-03-01;84.49
2003-04-01;84.37
2003-05-01;84.27
2003-06-01;84.43
2003-07-01;84.34
2003-08-01;84.54
2003-09-01;84.86
2003-10-01;85.04
2003-11-01;85.14
2003-12-01;85.23
2004-01-01;85.23
2004-02-01;85.59
2004-03-01;85.93
2004-04-01;86.15
2004-05-01;86.47
2004-06-01;86.5
2004-07-01;86.36
2004-08-01;86.55
2004-09-01;86.63
2004-10-01;86.85
2004-11-01;86.9
2004-12-01;87
2005-01-01;86.52
2005-02-01;87.05
2005-03-01;87.6
2005-04-01;87.77
2005-05-01;87.83
2005-06-01;87.93
2005-07-01;87.8
2005-08-01;88.14
2005-09-01;88.48
2005-10-01;88.46
2005-11-01;88.28
2005-12-01;88.39
2006-01-01;88.3
2006-02-01;88.64
2006-03-01;88.89
2006-04-01;89.27
2006-05-01;89.65
2006-06-01;89.65
2006-07-01;89.5
2006-08-01;89.8
2006-09-01;89.6
2006-10-01;89.4
2006-11-01;89.5
2006-12-01;89.71
2007-01-01;89.4
2007-02-01;89.57
2007-03-01;89.95
2007-04-01;90.39
2007-05-01;90.61
2007-06-01;90.72
2007-07-01;90.49
2007-08-01;90.86
2007-09-01;90.96
2007-10-01;91.19
2007-11-01;91.69
2007-12-01;92.03
2008-01-01;91.92
2008-02-01;92.12
2008-03-01;92.81
2008-04-01;93.12
2008-05-01;93.62
2008-06-01;93.96
2008-07-01;93.76
2008-08-01;93.73
2008-09-01;93.67
2008-10-01;93.62
2008-11-01;93.18
2008-12-01;92.95
2009-01-01;92.57
2009-02-01;92.92
2009-03-01;93.09
2009-04-01;93.24
2009-05-01;93.38
2009-06-01;93.5
2009-07-01;93.08
2009-08-01;93.56
2009-09-01;93.33
2009-10-01;93.42
2009-11-01;93.55
2009-12-01;93.8
2010-01-01;93.59
2010-02-01;94.11
2010-03-01;94.57
2010-04-01;94.81
2010-05-01;94.92
2010-06-01;94.91
2010-07-01;94.64
2010-08-01;94.86
2010-09-01;94.79
2010-10-01;94.91
2010-11-01;95.02
2010-12-01;95.45
2011-01-01;95.22
2011-02-01;95.67
2011-03-01;96.45
2011-04-01;96.78
2011-05-01;96.83
2011-06-01;96.91
2011-07-01;96.48
2011-08-01;96.98
2011-09-01;96.91
2011-10-01;97.14
2011-11-01;97.41
2011-12-01;97.8
2012-01-01;97.46
2012-02-01;97.86
2012-03-01;98.67
2012-04-01;98.8
2012-05-01;98.75
2012-06-01;98.78
2012-07-01;98.35
2012-08-01;99
2012-09-01;98.76
2012-10-01;98.94
2012-11-01;98.79
2012-12-01;99.1
2013-01-01;98.6
2013-02-01;98.88
2013-03-01;99.63
2013-04-01;99.48
2013-05-01;99.54
2013-06-01;99.7
2013-07-01;99.4
2013-08-01;99.86
2013-09-01;99.63
2013-10-01;99.5
2013-11-01;99.46
2013-12-01;99.8
2014-01-01;99.24
2014-02-01;99.79
2014-03-01;100.24
2014-04-01;100.2
2014-05-01;100.22
2014-06-01;100.18
2014-07-01;99.86
2014-08-01;100.3
2014-09-01;99.92
2014-10-01;99.95
2014-11-01;99.78
2014-12-01;99.86
2015-01-01;98.86
2015-02-01;99.52
2015-03-01;100.17
2015-04-01;100.28
2015-05-01;100.52
2015-06-01;100.44
2015-07-01;100.03
2015-08-01;100.35
2015-09-01;99.95
2015-10-01;100.01
2015-11-01;99.82
2015-12-01;100.04
2016-01-01;99.08
2016-02-01;99.33
2016-03-01;100.02
2016-04-01;100.09
2016-05-01;100.5
2016-06-01;100.63
2016-07-01;100.25
2016-08-01;100.58
2016-09-01;100.34
2016-10-01;100.37
2016-11-01;100.35
2016-12-01;100.65
2017-01-01;100.41
