N_days,strategy,n_triggers,total_pnl,avg_pnl_per_trigger,hit_rate,sharpe,max_drawdown,capital_at_risk,return_pct
14,homerun_N=14d,14421,3207979.73,222.45,0.5075,77.544,701600.0,1442100.0,222.45
7,homerun_N=7d,13310,2734580.82,205.45,0.4663,67.145,701600.0,1331000.0,205.45
3,homerun_N=3d,8078,108388.33,13.42,0.1207,3.822,701600.0,807800.0,13.42
1,homerun_N=1d,7114,-706647.49,-99.33,0.0015,-491.976,706547.49,711400.0,-99.33
