strategy,n_triggers,total_pnl,avg_pnl_per_trigger,hit_rate,sharpe,max_drawdown,capital_at_risk,return_pct
MLP_general_EV,42829,4986235.05,116.42,0.5491,83.49,989920.03,4282900.0,116.42
MLP_homerun,143,-14300.0,-100.0,0.0,,14200.0,14300.0,-100.0
naive_enter_all,86532,8002632.55,92.48,0.5237,96.283,813170.61,8653200.0,92.48
random_match_general,42829,3977133.71,92.86,0.5222,67.826,2149.92,4282900.0,92.86
follow_whales,413,40348.07,97.7,0.5109,6.262,9039.81,41300.0,97.7
