model,strategy,initial_capital,max_bet_pct,liquidity_scaler,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
naive_consensus,top1pct_phat,1000,0.1,1.0,2571,1020,2010.3420147543409,1.010342014754341,3.7216315789476084,0,561
naive_consensus,top1pct_phat,1000,0.1,0.1,2571,644,1029.9331917620887,0.029933191762088654,31.005921052631606,0,394
naive_consensus,top1pct_phat,10000,0.01,1.0,2571,1160,11098.412556537574,0.10984125565375744,3.7216315789482906,0,310
naive_consensus,top1pct_phat,10000,0.01,0.1,2571,796,10033.665751627224,0.003366575162722438,31.00592105263968,0,0
naive_consensus,top1pct_phat,10000,0.05,1.0,2571,1157,11099.626820072865,0.10996268200728646,3.7216315789482906,0,313
naive_consensus,top1pct_phat,10000,0.05,0.1,2571,796,10034.57704210521,0.003457704210520933,31.00592105263968,0,0
naive_consensus,top1pct_phat,10000,0.1,1.0,2571,1157,11099.626820072865,0.10996268200728646,3.7216315789482906,0,313
naive_consensus,top1pct_phat,10000,0.1,0.1,2571,796,10034.57704210521,0.003457704210520933,31.00592105263968,0,0
naive_consensus,top1pct_phat,100000,0.01,1.0,2571,1372,101327.7723684211,0.013277723684210941,3.7216315789555665,0,0
naive_consensus,top1pct_phat,100000,0.01,0.1,2571,796,100034.57704210439,0.0003457704210438533,31.00592105278338,0,0
naive_consensus,top1pct_phat,100000,0.05,1.0,2571,1372,101327.7723684211,0.013277723684210941,3.7216315789555665,0,0
naive_consensus,top1pct_phat,100000,0.05,0.1,2571,796,100034.57704210439,0.0003457704210438533,31.00592105278338,0,0
naive_consensus,top1pct_phat,100000,0.1,1.0,2571,1372,101327.7723684211,0.013277723684210941,3.7216315789555665,0,0
naive_consensus,top1pct_phat,100000,0.1,0.1,2571,796,100034.57704210439,0.0003457704210438533,31.00592105278338,0,0
naive_consensus,top1pct_phat,1000000,0.01,1.0,2571,1372,1001327.7723684205,0.0013277723684204975,3.7216315787518397,0,0
naive_consensus,top1pct_phat,1000000,0.01,0.1,2571,796,1000034.5770421074,3.457704210735392e-05,31.005921052535996,0,0
naive_consensus,top1pct_phat,1000000,0.05,1.0,2571,1372,1001327.7723684205,0.0013277723684204975,3.7216315787518397,0,0
naive_consensus,top1pct_phat,1000000,0.05,0.1,2571,796,1000034.5770421074,3.457704210735392e-05,31.005921052535996,0,0
naive_consensus,top1pct_phat,1000000,0.1,1.0,2571,1372,1001327.7723684205,0.0013277723684204975,3.7216315787518397,0,0
naive_consensus,top1pct_phat,1000000,0.1,0.1,2571,796,1000034.5770421074,3.457704210735392e-05,31.005921052535996,0,0
naive_consensus,top1pct_edge,1000,0.01,1.0,2571,1099,860.9573443354082,-0.13904265566459184,139.04265566459185,0,426
naive_consensus,top1pct_edge,1000,0.01,0.1,2571,724,790.0275735096624,-0.20997242649033762,209.97242649033763,0,219
naive_consensus,top1pct_edge,1000,0.05,1.0,2571,1069,1764.8001036727587,0.7648001036727587,3.7216315789476084,0,483
naive_consensus,top1pct_edge,1000,0.05,0.1,2571,687,950.8450710482724,-0.049154928951727586,63.25461209140121,0,305
