market_id,n_trades,hit_rate,total_pnl,mean_edge
1466016,16679,0.9369866298938785,2215707.600711569,0.2458807232374586
1569627,17872,0.45920993733213966,1612985.1227915192,0.11006796975148463
1484894,6316,0.9672260924635846,499272.34104066354,0.2623964544865572
1484895,6666,0.9068406840684068,318923.18746086967,0.19591948400221182
1571566,2905,0.8148020654044751,34085.24583119628,0.10380099652554213
1706788,3703,0.25951930866864703,-247589.44662351024,0.09984324069130575
1466012,4151,0.06311732112743917,-385976.5641990731,0.11070713970042431
1466013,6051,0.16592298793587837,-486317.7263202175,0.09518818673509215
1466014,9568,0.2713210702341137,-618438.6857859239,0.09915162166027752
1466015,40863,0.2159655434011208,-2768190.296640284,0.10480024682183273
