market_id,n_trades,hit_rate,total_pnl,mean_edge
1466016,17814,0.7477265072414955,1588478.0282755564,0.12115644149004098
1569627,13514,0.367544768388338,924281.5545107177,0.12540544565580442
1571566,2365,0.9784355179704017,82171.38015237122,0.06910585419095353
1484894,7125,0.5642105263157895,75939.6705600107,0.13653279276207392
1706788,3452,0.2152375434530707,-244416.75262174016,0.09758262394975581
1484895,6487,0.26668722059503625,-348181.0718146144,0.13333081910093827
1466012,5806,0.003272476748191526,-577815.6753850419,0.1580366873295741
1466014,9706,0.20760354419946425,-661153.298821527,0.12919672057029702
1466013,7432,0.07131324004305704,-667755.3851634494,0.12968800432808553
1466015,39438,0.1520361073076728,-2941316.9980372214,0.15881836548232806
